sample_id,condition,modality,content_positions,requested_fraction,interval_position_budget,originally_available,newly_removed_observations,actual_removed_fraction_of_available
-UacrmKiTn4$_$7,text_10_front,text,26,0.1,3,26,3,0.11538461538461539
-qDkUB0GgYY$_$5,text_10_front,text,48,0.1,5,48,5,0.10416666666666667
0utROiKxejc$_$1,text_10_front,text,16,0.1,2,16,2,0.125
0utROiKxejc$_$4,text_10_front,text,33,0.1,3,33,3,0.09090909090909091
0y022OlZ3W0$_$3,text_10_front,text,17,0.1,2,17,2,0.11764705882352941
0y022OlZ3W0$_$5,text_10_front,text,22,0.1,2,22,2,0.09090909090909091
0y022OlZ3W0$_$8,text_10_front,text,13,0.1,1,13,1,0.07692307692307693
101787$_$11,text_10_front,text,32,0.1,3,32,3,0.09375
101787$_$13,text_10_front,text,19,0.1,2,19,2,0.10526315789473684
101787$_$1,text_10_front,text,16,0.1,2,16,2,0.125
101787$_$5,text_10_front,text,17,0.1,2,17,2,0.11764705882352941
101787$_$7,text_10_front,text,8,0.1,1,8,1,0.125
101787$_$9,text_10_front,text,19,0.1,2,19,2,0.10526315789473684
102408$_$2,text_10_front,text,7,0.1,1,7,1,0.14285714285714285
102408$_$5,text_10_front,text,29,0.1,3,29,3,0.10344827586206896
102408$_$9,text_10_front,text,29,0.1,3,29,3,0.10344827586206896
102858$_$20,text_10_front,text,24,0.1,2,24,2,0.08333333333333333
102858$_$21,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
102858$_$1,text_10_front,text,22,0.1,2,22,2,0.09090909090909091
102858$_$0,text_10_front,text,3,0.1,1,3,1,0.3333333333333333
102858$_$4,text_10_front,text,48,0.1,5,48,5,0.10416666666666667
102858$_$6,text_10_front,text,26,0.1,3,26,3,0.11538461538461539
102858$_$10,text_10_front,text,10,0.1,1,10,1,0.1
102858$_$17,text_10_front,text,9,0.1,1,9,1,0.1111111111111111
102858$_$19,text_10_front,text,12,0.1,1,12,1,0.08333333333333333
112433$_$10,text_10_front,text,1,0.1,1,1,1,1.0
112433$_$3,text_10_front,text,32,0.1,3,32,3,0.09375
112433$_$7,text_10_front,text,9,0.1,1,9,1,0.1111111111111111
112433$_$6,text_10_front,text,24,0.1,2,24,2,0.08333333333333333
117tQqLjza4$_$6,text_10_front,text,15,0.1,2,15,2,0.13333333333333333
11j7EfglCAs$_$2,text_10_front,text,24,0.1,2,24,2,0.08333333333333333
121128$_$10,text_10_front,text,15,0.1,2,15,2,0.13333333333333333
121128$_$1,text_10_front,text,29,0.1,3,29,3,0.10344827586206896
121128$_$0,text_10_front,text,11,0.1,1,11,1,0.09090909090909091
121128$_$5,text_10_front,text,7,0.1,1,7,1,0.14285714285714285
125344$_$0,text_10_front,text,48,0.1,5,48,5,0.10416666666666667
125676$_$0,text_10_front,text,13,0.1,1,13,1,0.07692307692307693
125676$_$4,text_10_front,text,27,0.1,3,27,3,0.1111111111111111
128059$_$11,text_10_front,text,38,0.1,4,38,4,0.10526315789473684
128059$_$12,text_10_front,text,16,0.1,2,16,2,0.125
128059$_$2,text_10_front,text,14,0.1,1,14,1,0.07142857142857142
128059$_$7,text_10_front,text,48,0.1,5,48,5,0.10416666666666667
128059$_$6,text_10_front,text,48,0.1,5,48,5,0.10416666666666667
128059$_$9,text_10_front,text,22,0.1,2,22,2,0.09090909090909091
128763$_$12,text_10_front,text,18,0.1,2,18,2,0.1111111111111111
128763$_$3,text_10_front,text,24,0.1,2,24,2,0.08333333333333333
128763$_$2,text_10_front,text,12,0.1,1,12,1,0.08333333333333333
128763$_$5,text_10_front,text,10,0.1,1,10,1,0.1
128763$_$7,text_10_front,text,16,0.1,2,16,2,0.125
128763$_$8,text_10_front,text,8,0.1,1,8,1,0.125
130456$_$11,text_10_front,text,34,0.1,3,34,3,0.08823529411764706
130456$_$3,text_10_front,text,19,0.1,2,19,2,0.10526315789473684
130456$_$5,text_10_front,text,11,0.1,1,11,1,0.09090909090909091
130456$_$4,text_10_front,text,23,0.1,2,23,2,0.08695652173913043
130456$_$7,text_10_front,text,8,0.1,1,8,1,0.125
130456$_$6,text_10_front,text,33,0.1,3,33,3,0.09090909090909091
188343$_$13,text_10_front,text,42,0.1,4,42,4,0.09523809523809523
188343$_$12,text_10_front,text,30,0.1,3,30,3,0.1
188343$_$5,text_10_front,text,20,0.1,2,20,2,0.1
188343$_$9,text_10_front,text,30,0.1,3,30,3,0.1
188343$_$8,text_10_front,text,21,0.1,2,21,2,0.09523809523809523
1HK7Nea0PFo$_$1,text_10_front,text,17,0.1,2,17,2,0.11764705882352941
